#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
120        566352158073737      54.167             0.02               0.0                delayed            zams               50.064             0.02               0.0                delayed            zams               3.19e+04           0.0437             end                end            67916381902610   
121        287643354192107      24.061             0.02               0.0                delayed            zams               2.765              0.02               0.0                delayed            zams               1.45e+04           0.123              end                end            401525757777004  
122        235756729049632      23.255             0.02               0.0                delayed            zams               15.980             0.02               0.0                delayed            zams               38.3               0.0109             end                end            454432716787942  
123        728895637842326      39.288             0.02               0.0                delayed            zams               24.828             0.02               0.0                delayed            zams               119                0.0747             end                end            314022460025293  
124        296989551842637      127.586            0.02               0.0                delayed            zams               88.279             0.02               0.0                delayed            zams               4.33e+04           0.399              end                end            687774225933365  
125        710162522490822      30.644             0.02               0.0                delayed            zams               7.729              0.02               0.0                delayed            zams               262                0.165              end                end            699302779626439  
126        866520334328320      28.746             0.02               0.0                delayed            zams               4.119              0.02               0.0                delayed            zams               32.5               0.193              end                end            624982748443812  
127        926702270379964      68.461             0.02               0.0                delayed            zams               37.114             0.02               0.0                delayed            zams               326                0.73               end                end            461210303689364  
128        691551292800739      22.372             0.02               0.0                delayed            zams               8.389              0.02               0.0                delayed            zams               2.19e+03           0.128              end                end            112041676888486  
129        266757045762422      26.599             0.02               0.0                delayed            zams               14.812             0.02               0.0                delayed            zams               4.35e+04           0.808              end                end            866250652562367  
130        937454938215453      76.172             0.02               0.0                delayed            zams               41.333             0.02               0.0                delayed            zams               2.76e+03           0.491              end                end            135807149712204  
131        718284101751909      28.306             0.02               0.0                delayed            zams               19.688             0.02               0.0                delayed            zams               176                0.387              end                end            237183388950014  
132        583461314929010      40.927             0.02               0.0                delayed            zams               12.288             0.02               0.0                delayed            zams               1.76e+04           0.0695             end                end            843455708605539  
133        372986389659271      37.982             0.02               0.0                delayed            zams               26.739             0.02               0.0                delayed            zams               127                0.0669             end                end            234717506616061  
134        479305882893447      136.105            0.02               0.0                delayed            zams               16.438             0.02               0.0                delayed            zams               120                0.671              end                end            180524935880936  
135        466792190392811      34.550             0.02               0.0                delayed            zams               24.037             0.02               0.0                delayed            zams               7.99e+03           0.708              end                end            285282477762490  
136        689437721543415      29.717             0.02               0.0                delayed            zams               10.087             0.02               0.0                delayed            zams               56.1               0.0712             end                end            540342913239593  
137        365279327776120      30.835             0.02               0.0                delayed            zams               17.252             0.02               0.0                delayed            zams               1.05e+03           0.0726             end                end            269185394731001  
138        708328588810360      91.511             0.02               0.0                delayed            zams               78.747             0.02               0.0                delayed            zams               104                0.0339             end                end            732658759682539  
139        591320386784788      35.900             0.02               0.0                delayed            zams               9.788              0.02               0.0                delayed            zams               2.59e+03           0.901              end                end            588181337558215  
140        366913281914023      47.487             0.02               0.0                delayed            zams               46.330             0.02               0.0                delayed            zams               4.55e+03           0.178              end                end            469592302560299  
141        656542160456570      132.819            0.02               0.0                delayed            zams               21.539             0.02               0.0                delayed            zams               703                0.00701            end                end            845263525243340  
142        149293721627005      63.803             0.02               0.0                delayed            zams               7.013              0.02               0.0                delayed            zams               142                0.226              end                end            848164326629909  
143        154299172447298      115.593            0.02               0.0                delayed            zams               34.846             0.02               0.0                delayed            zams               293                0.0331             end                end            923243428587420  
144        377067159821097      27.482             0.02               0.0                delayed            zams               10.953             0.02               0.0                delayed            zams               924                0.148              end                end            623199887061190  
