B;859046732397417;12;CE;5.008920;0:2.439e+01:1.182e+01:0.000e+00:3:0:1:2.876e+01:0.000e+00:0.000e+00:1:0:2.502220e+02:2.337941e+02:0
S;859046732397417;0;HENAKED;5.008920;24.3857:11.8163:0:234.883:1.0525:4:35.697:11.8163:0
B;859046732397417;12;RLO_END;5.008920;1:2.876e+01:0.000e+00:0.000e+00:1:0:1.668199e+01:1.069593e+02:0:1.182e+01:1.182e+01:0.000e+00:4:0:1.052504e+00:7.134200e+01:-2.34066:1.63846:233.794:0
S;859046732397417;0;SN;5.531385;7.81998:7.81998:5.93942:3.28945:6:528.577:94.7454:4.13428:94.5513:4.43225
B;859046732397417;12;BSN;5.531385;0:7.820e+00:7.820e+00:5.939e+00:6:0:1:2.853e+01:0.000e+00:0.000e+00:1:0:260.62:0:491.535:0.651262:-0.0278626:9.94975
B;859046732397417;12;COLLISION;6.021216;1:26.7666:229.973:3:0:3.29068:1.39765e-05:7:401.978:0.516571:225.742:88.2291
B;859046732397417;12;MERGER;6.021174;0:3.291e+00:0.000e+00:0.000e+00:7:6:1:2.677e+01:1.046e+01:0.000e+00:3:0:3.29068
B;282844044430409;13;RLO_BEGIN;4.620659;0:2.586e+01:0.000e+00:0.000e+00:1:0:1.144872e+01:1.106408e+01:1:1.946e+01:0.000e+00:0.000e+00:1:0:7.807391e+00:9.716214e+00:1.32899:3:27.4021:0
B;282844044430409;13;MERGER;5.038959;0:2.206e+01:0.000e+00:0.000e+00:1:0:1:2.197e+01:0.000e+00:0.000e+00:1:0:44.0303
S;282844044430409;0;SN;6.324780;10.9536:10.8481:8.94156:7.98363:6:390.467:18.9043:-8.99516:-14.4106:-8.29419
S;419704917404674;0;SN;3.488801;14.6661:14.6513:12.25:14.1661:6:343.975:0:-0:-0:-0
B;419704917404674;14;BSN;3.488801;0:1.467e+01:1.465e+01:1.225e+01:6:0:1:2.972e+01:0.000e+00:0.000e+00:1:0:6456.05:0.110942:6544.98:0.120953:-0:12.4678
S;419704917404674;1;SN;6.060951;12.0547:11.4088:8.99254:8.85189:6:319.002:15.0213:7.90415:-11.568:-5.41723
B;419704917404674;14;BSN;6.060951;1:1.205e+01:1.141e+01:8.993e+00:6:0:0:1.421e+01:0.000e+00:0.000e+00:7:6:10778:0.120271:9510.23:0.675965:-0.430227:5.49085
B;926228261599451;15;RLO_BEGIN;3.339297;0:3.621e+01:0.000e+00:0.000e+00:1:0:1.596085e+01:1.569236e+01:1:4.855e+00:0.000e+00:0.000e+00:1:0:2.618939e+00:6.367387e+00:7.45971:3:28.3009:0
B;926228261599451;15;MERGER;3.214340;0:3.621e+01:0.000e+00:0.000e+00:1:0:1:4.855e+00:0.000e+00:0.000e+00:1:0:41.068
S;926228261599451;0;SN;4.916725;9.71866:9.62148:7.91164:6.02011:6:648.729:51.8697:-11.9287:26.3306:-43.0682
B;534938939654321;16;RLO_BEGIN;5.417373;0:2.670e+01:1.093e+01:0.000e+00:3:0:8.210819e+01:7.852888e+01:1:2.584e+01:0.000e+00:0.000e+00:1:0:1.591039e+01:7.736261e+01:1.03329:4:205.703:0.339621
B;534938939654321;16;COLLISION;5.419847;0:26.1338:166.652:3:1:26.2126:16.0597:1:179.361:0:67.9166:68.0102
B;534938939654321;16;CE;5.419715;0:2.613e+01:1.101e+01:0.000e+00:3:0:1:2.621e+01:0.000e+00:0.000e+00:1:0:1.793605e+02:1.537942e+02:0
S;534938939654321;0;HENAKED;5.419715;26.1338:11.0073:0:166.652:0.988766:4:31.858:11.0073:0
B;534938939654321;16;RLO_END;5.419715;1:2.621e+01:0.000e+00:0.000e+00:1:0:1.605969e+01:7.006048e+01:0:1.101e+01:1.101e+01:0.000e+00:4:0:9.887662e-01:4.719473e+01:-0.502355:0.351649:153.794:0
S;534938939654321;0;SN;5.963695;7.34572:7.34572:5.47226:2.79178:5:468.42:99.4407:33.2668:-25.1394:-90.2762
B;534938939654321;16;BSN;5.963695;0:7.346e+00:7.346e+00:5.472e+00:6:0:1:2.605e+01:0.000e+00:0.000e+00:1:0:171.069:0:183.169:0.150679:-0.491939:12.3011
B;534938939654321;16;RLO_BEGIN;6.430186;1:2.508e+01:9.049e+00:0.000e+00:3:0:1.117701e+02:1.078315e+02:0:2.793e+00:0.000e+00:0.000e+00:7:5:1.437400e-05:4.038775e+01:8.97871:4:189.319:0.15037
B;534938939654321;16;MERGER;6.430070;0:2.793e+00:0.000e+00:0.000e+00:7:5:1:2.508e+01:9.049e+00:0.000e+00:3:0:2.7932
B;138540646599139;17;RLO_BEGIN;2.507235;0:5.438e+01:0.000e+00:0.000e+00:1:0:2.783011e+01:2.751702e+01:1:4.418e+01:0.000e+00:0.000e+00:1:0:1.572708e+01:2.502401e+01:1.23108:3:69.3052:0
B;138540646599139;17;MERGER;2.725454;0:4.148e+01:0.000e+00:0.000e+00:1:0:1:5.213e+01:0.000e+00:0.000e+00:1:0:93.6071
S;138540646599139;0;SN;3.645904;19.1672:19.0756:16.1824:18.6672:6:170.429:0:0:0:0
S;962297388325913;0;SN;3.064314;17.6693:17.6512:14.9211:17.1693:6:303.544:0:0:0:-0
B;962297388325913;18;BSN;3.064314;0:1.767e+01:1.765e+01:1.492e+01:6:0:1:2.238e+01:0.000e+00:0.000e+00:1:0:3130.28:0.000595842:3170.39:0.0131448:-0:21.113
S;962297388325913;1;SN;8.283453;16.433:8.19084:5.76724:5.77102:6:397.363:95.5417:-55.3825:74.931:21.1269
B;962297388325913;18;BSN;8.283453;1:1.643e+01:8.191e+00:5.767e+00:6:0:0:1.723e+01:0.000e+00:0.000e+00:7:6:3692.34:6.02517e-10:nan:nan:nan:nan
S;884066754785672;0;SN;3.004466;18.7821:18.2868:15.4806:18.2821:6:345.701:0:-0:-0:-0
B;884066754785672;19;BSN;3.004466;0:1.878e+01:1.829e+01:1.548e+01:6:0:1:2.840e+01:2.767e+01:0.000e+00:4:0:1138.94:0.235943:1147.18:0.228938:-0:28.0527
S;884066754785672;1;SN;3.240406;16.7603:16.3276:13.756:16.2603:6:141.578:0:-0:0:0
B;884066754785672;19;BSN;3.240406;1:1.676e+01:1.633e+01:1.376e+01:6:0:0:1.828e+01:0.000e+00:0.000e+00:7:6:1518.16:0.228936:1536.22:0.22361:-0:27.7119
B;432638221009700;20;RLO_BEGIN;5.973854;0:2.603e+01:0.000e+00:0.000e+00:1:0:2.787473e+01:2.701899e+01:1:1.267e+01:0.000e+00:0.000e+00:1:0:5.503613e+00:1.946047e+01:2.05428:3:61.0752:0.000710198
B;432638221009700;20;COLLISION;6.138251;0:23.8526:50.4451:3:1:13.786:5.81719:1:55.2259:0:23.5877:18.3674
B;432638221009700;20;MERGER;6.138013;0:2.385e+01:8.742e+00:0.000e+00:3:0:1:1.379e+01:0.000e+00:0.000e+00:1:0:37.6387
S;432638221009700;0;SN;6.768504;22.0913:10.2615:7.71302:12.7781:6:172.456:16.3581:-0.452443:1.01903:16.32
