ID,name,Worldtime_0,Mass_0,Phase_0,RemnantType_0,Worldtime_1,Mass_1,Phase_1,RemnantType_1,Semimajor,Eccentricity,BEvent
68,327012848693621,6.659619e+00,1.946547e+01,7,6,6.659619e+00,nan,7,-1,nan,nan,0
69,546322736090947,0.000000e+00,3.644823e+01,1,0,0.000000e+00,9.434628e+00,1,0,1.350000e+03,5.260000e-01,-1
69,546322736090947,2.671648e+01,4.281708e+00,7,6,2.671648e+01,1.235519e+00,7,5,nan,nan,17
70,799734496041159,0.000000e+00,6.989612e+01,1,0,0.000000e+00,5.976282e+01,1,0,5.380000e+03,2.140000e-01,-1
70,799734496041159,3.979084e+00,1.332419e+01,7,6,3.979084e+00,1.346331e+01,7,6,2.535484e+04,2.097817e-01,0
71,752201417355791,0.000000e+00,2.906739e+01,1,0,0.000000e+00,1.269978e+01,1,0,1.550000e+02,7.030000e-01,-1
71,752201417355791,6.459914e+00,1.392005e+01,7,6,6.459914e+00,nan,7,-1,nan,nan,0
72,907104026726568,0.000000e+00,2.787098e+01,1,0,0.000000e+00,3.151924e+00,1,0,8.670000e+01,3.550000e-01,-1
72,907104026726568,6.798237e+00,1.001252e+01,7,6,6.798237e+00,nan,7,-1,nan,nan,0
73,699414111676869,0.000000e+00,2.522890e+01,1,0,0.000000e+00,6.178858e+00,1,0,5.620000e+01,3.720000e-01,-1
73,699414111676869,7.389212e+00,7.048325e+00,7,6,7.389212e+00,nan,7,-1,nan,nan,0
74,810140739386774,0.000000e+00,2.496071e+01,1,0,0.000000e+00,4.741888e+00,1,0,4.670000e+01,5.520000e-01,-1
74,810140739386774,7.399821e+00,9.268602e+00,7,6,7.399821e+00,nan,7,-1,nan,nan,0
75,213297313047771,0.000000e+00,2.837746e+01,1,0,0.000000e+00,2.349411e+01,1,0,1.230000e+03,4.700000e-01,-1
75,213297313047771,7.998329e+00,2.312465e+00,7,5,7.998329e+00,6.928806e+00,7,6,nan,nan,0
76,223606719686579,0.000000e+00,3.294515e+01,1,0,0.000000e+00,2.123688e+01,1,0,6.540000e+02,4.400000e-01,-1
76,223606719686579,5.847534e+00,1.360836e+01,7,6,5.847534e+00,nan,7,-1,nan,nan,0
77,261799456831970,0.000000e+00,4.911882e+01,1,0,0.000000e+00,1.100337e+01,1,0,7.610000e+01,3.970000e-01,-1
77,261799456831970,4.264900e+00,1.410049e+01,7,6,4.264900e+00,nan,7,-1,nan,nan,0
78,456457911613093,0.000000e+00,1.123747e+02,1,0,0.000000e+00,5.097592e+01,1,0,5.830000e+04,4.350000e-04,-1
78,456457911613093,4.349200e+00,1.609611e+01,7,6,4.349200e+00,8.019576e+00,7,6,nan,nan,17
79,274382242423304,0.000000e+00,3.849593e+01,1,0,0.000000e+00,5.962868e+00,1,0,5.460000e+02,3.830000e-01,-1
79,274382242423304,5.041376e+00,1.891513e+01,7,6,5.041376e+00,nan,7,-1,nan,nan,0
80,290467174974121,0.000000e+00,3.492117e+01,1,0,0.000000e+00,2.592980e+01,1,0,4.410000e+03,7.470000e-01,-1
80,290467174974121,6.713999e+00,3.852826e+00,7,6,6.713999e+00,nan,7,-1,nan,nan,13
81,281397439412290,0.000000e+00,8.749439e+01,1,0,0.000000e+00,7.806695e+01,1,0,1.100000e+02,2.630000e-01,-1
81,281397439412290,3.149738e+00,2.993767e+01,7,6,3.149738e+00,nan,7,-1,nan,nan,0
82,234358520905445,0.000000e+00,3.932715e+01,1,0,0.000000e+00,1.140627e+01,1,0,7.310000e+03,1.260000e-02,-1
82,234358520905445,2.007341e+01,4.515602e+00,7,6,2.007341e+01,1.235519e+00,7,5,nan,nan,0
83,425766174440097,0.000000e+00,4.462359e+01,1,0,0.000000e+00,3.317710e+01,1,0,3.860000e+03,5.150000e-01,-1
83,425766174440097,5.799948e+00,5.610817e+00,7,6,5.799948e+00,7.302435e+00,7,6,nan,nan,0
84,846609191839703,0.000000e+00,3.536117e+01,1,0,0.000000e+00,1.648816e+01,1,0,1.040000e+02,6.860000e-01,-1
84,846609191839703,7.697735e+00,1.235519e+00,7,5,7.697735e+00,nan,7,-1,nan,nan,0
85,500382267934497,0.000000e+00,2.577726e+01,1,0,0.000000e+00,1.251187e+01,1,0,8.250000e+02,8.720000e-01,-1
85,500382267934497,7.393995e+00,1.170593e+01,7,6,7.393995e+00,nan,7,-1,nan,nan,0
86,475285196498720,0.000000e+00,3.822815e+01,1,0,0.000000e+00,7.763824e+00,1,0,4.760000e+02,1.100000e-01,-1
86,475285196498720,5.057192e+00,1.982106e+01,7,6,5.057192e+00,nan,7,-1,nan,nan,0
87,623503458324522,0.000000e+00,9.990903e+01,1,0,0.000000e+00,9.260560e+01,1,0,4.650000e+02,7.880000e-02,-1
87,623503458324522,3.357893e+00,1.560667e+01,7,6,3.357893e+00,1.506908e+01,7,6,2.626581e+03,7.922158e-02,0
88,711141501043066,0.000000e+00,4.629276e+01,1,0,0.000000e+00,2.575433e+01,1,0,4.130000e+04,3.120000e-01,-1
88,711141501043066,7.397041e+00,6.143011e+00,7,6,7.397041e+00,7.901026e+00,7,6,nan,nan,0
89,303083868936373,0.000000e+00,3.962380e+01,1,0,0.000000e+00,3.692507e+01,1,0,1.050000e+02,1.150000e-02,-1
89,303083868936373,4.828444e+00,3.021172e+01,7,6,4.828444e+00,nan,7,-1,nan,nan,0
90,412270670158375,0.000000e+00,2.343628e+01,1,0,0.000000e+00,1.404910e+01,1,0,1.290000e+02,7.450000e-01,-1
90,412270670158375,8.056670e+00,9.805747e+00,7,6,8.056670e+00,nan,7,-1,nan,nan,0
91,608886660384900,0.000000e+00,5.837427e+01,1,0,0.000000e+00,9.390629e+00,1,0,1.100000e+02,4.280000e-01,-1
91,608886660384900,3.913643e+00,1.965747e+01,7,6,3.913643e+00,nan,7,-1,nan,nan,0
92,184778477511811,0.000000e+00,6.933868e+01,1,0,0.000000e+00,5.096299e+01,1,0,1.080000e+03,3.690000e-02,-1
92,184778477511811,4.347548e+00,1.333686e+01,7,6,4.347548e+00,8.225251e+00,7,6,4.618915e+04,8.957893e-01,0
93,717712098291993,0.000000e+00,3.317113e+01,1,0,0.000000e+00,2.227078e+01,1,0,9.180000e+01,6.750000e-01,-1
93,717712098291993,5.674541e+00,1.769143e+01,7,6,5.674541e+00,nan,7,-1,nan,nan,0
94,814713357172388,0.000000e+00,3.391972e+01,1,0,0.000000e+00,7.150841e+00,1,0,2.350000e+01,2.070000e-03,-1
94,814713357172388,5.362882e+00,5.046901e+00,7,6,5.362882e+00,nan,7,-1,nan,nan,0
95,713158540038399,0.000000e+00,6.231630e+01,1,0,0.000000e+00,3.975521e+01,1,0,1.050000e+03,6.920000e-01,-1
95,713158540038399,4.562955e+00,1.447164e+01,7,6,4.562955e+00,nan,7,-1,nan,nan,13
96,983004544965063,0.000000e+00,2.771844e+01,1,0,0.000000e+00,2.320697e+01,1,0,1.670000e+04,5.980000e-01,-1
96,983004544965063,8.109606e+00,8.862427e+00,7,6,8.109606e+00,6.457521e+00,7,6,nan,nan,0
97,666862628365700,0.000000e+00,9.809676e+01,1,0,0.000000e+00,6.833718e+01,1,0,4.170000e+01,2.280000e-03,-1
97,666862628365700,2.953205e+00,2.074173e+01,7,6,2.953205e+00,nan,7,-1,nan,nan,0
98,683475853965553,0.000000e+00,4.513488e+01,1,0,0.000000e+00,9.327631e+00,1,0,1.880000e+02,6.040000e-01,-1
98,683475853965553,4.556203e+00,2.106335e+01,7,6,4.556203e+00,nan,7,-1,nan,nan,0
99,440813071114268,0.000000e+00,2.741535e+01,1,0,0.000000e+00,2.288693e+01,1,0,4.700000e+02,9.060000e-01,-1
99,440813071114268,6.928851e+00,1.620462e+01,7,6,6.928851e+00,nan,7,-1,nan,nan,0
400,711770507090548,0.000000e+00,7.156795e+01,1,0,0.000000e+00,4.086844e+01,1,0,1.320000e+03,2.370000e-02,-1
400,711770507090548,4.955745e+00,1.343096e+01,7,6,4.955745e+00,4.539194e+00,7,6,7.507683e+04,9.571572e-01,0
401,335250666710989,0.000000e+00,2.383608e+01,1,0,0.000000e+00,8.849667e+00,1,0,2.850000e+02,5.340000e-03,-1
401,335250666710989,7.941129e+00,9.041025e+00,7,6,7.941129e+00,nan,7,-1,nan,nan,0
402,110668390429549,0.000000e+00,2.628175e+01,1,0,0.000000e+00,7.359839e+00,1,0,7.230000e+03,4.930000e-01,-1
402,110668390429549,4.506995e+01,8.182332e+00,7,6,4.506995e+01,1.062362e+00,7,2,nan,nan,0
403,401040028738347,0.000000e+00,4.143445e+01,1,0,0.000000e+00,5.854869e+00,1,0,1.460000e+02,6.970000e-01,-1
403,401040028738347,4.727714e+00,1.833270e+01,7,6,4.727714e+00,nan,7,-1,nan,nan,0
404,633804710677832,0.000000e+00,6.470921e+01,1,0,0.000000e+00,3.000452e+01,1,0,3.190000e+01,4.130000e-03,-1
404,633804710677832,3.536767e+00,1.553776e+01,7,6,3.536767e+00,nan,7,-1,nan,nan,0
405,729072894367061,0.000000e+00,2.867058e+01,1,0,0.000000e+00,1.054848e+01,1,0,1.660000e+03,5.140000e-01,-1
405,729072894367061,2.297421e+01,2.347347e+00,7,5,2.297421e+01,1.235519e+00,7,5,nan,nan,0
406,927069483256854,0.000000e+00,3.780806e+01,1,0,0.000000e+00,3.513122e+01,1,0,3.870000e+01,1.750000e-01,-1
406,927069483256854,4.704194e+00,1.437935e+01,7,6,4.704194e+00,nan,7,-1,nan,nan,0
407,346702290979793,0.000000e+00,3.131257e+01,1,0,0.000000e+00,3.373913e+00,1,0,8.490000e+03,4.460000e-01,-1
407,346702290979793,3.304230e+02,8.756288e+00,7,6,3.304230e+02,6.398748e-01,7,2,nan,nan,0
408,959581695042470,0.000000e+00,2.653997e+01,1,0,0.000000e+00,9.493626e+00,1,0,3.610000e+01,2.080000e-01,-1
408,959581695042470,6.925466e+00,5.732304e+00,7,6,6.925466e+00,nan,7,-1,nan,nan,0
409,307313534495920,0.000000e+00,2.443628e+01,1,0,0.000000e+00,7.255840e+00,1,0,4.540000e+01,5.100000e-02,-1
409,307313534495920,7.580505e+00,6.706818e+00,7,6,7.580505e+00,nan,7,-1,nan,nan,0
410,396015107897147,0.000000e+00,6.096546e+01,1,0,0.000000e+00,3.946751e+01,1,0,3.530000e+01,1.370000e-04,-1
410,396015107897147,3.580246e+00,1.628642e+01,7,6,3.580246e+00,nan,7,-1,nan,nan,0
411,344528569045646,0.000000e+00,4.219542e+01,1,0,0.000000e+00,2.297965e+01,1,0,3.220000e+01,9.550000e-02,-1
411,344528569045646,4.472251e+00,1.342136e+01,7,6,4.472251e+00,nan,7,-1,nan,nan,0
412,606171832803455,0.000000e+00,2.931964e+01,1,0,0.000000e+00,3.188923e+00,1,0,8.950000e+02,2.200000e-01,-1
412,606171832803455,6.384319e+00,1.062535e+01,7,6,6.384319e+00,nan,7,-1,nan,nan,0
